number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,2,0,"Org. for Sandra Bullock in ""Miss Congeniality""",3,FBI
4,4,0,8,0,Shawarma wraps,5,PITAS
9,10,0,14,0,Tear things,5,DUCTS
14,17,0,19,0,Sorry,3,SAD
17,0,1,2,1,"Dress (up), quaintly",3,TOG
18,4,1,8,1,Dress up,5,ADORN
19,10,1,14,1,___ nous,5,ENTRE
20,16,1,19,1,Bring up to ___,4,CODE
21,0,2,2,2,"Nocturnal bird known for its distinct calls, informally",3,WHO
22,4,2,8,2,–,5,TOWEL
23,10,2,14,2,How things might go on the internet,5,VIRAL
24,16,2,19,2,Fit,4,HALE
25,1,3,7,3,"___ Moshfegh, author of the 2015 Hemingway Foundation/PEN Award-winning novel ""Eileen""",7,OTTESSA
27,9,3,13,3,Collections of bets,5,POOLS
28,15,3,19,3,Response to a repeat introduction,5,WEMET
29,0,4,4,4,Respond to,5,ACTON
30,8,4,13,4,Some outdoor seats,6,LAUNCH
31,15,4,19,4,–,5,HEIRS
32,0,5,5,5,"14,000-foot volcano in California",6,SHASTA
34,7,5,11,5,Hallmarks of Scottish accents,5,BURRS
35,13,5,16,5,Long walk,4,TREK
37,0,6,3,6,Secret lairs,4,HIGH
38,5,6,10,6,–,6,DOUBTS
40,12,6,17,6,Grammy winner Hill,6,LAURYN
42,0,7,2,7,Green beginning,3,ECO
43,4,7,9,7,"Lifted, as spirits",6,BUOYED
44,11,7,15,7,Swelling,5,BULGE
45,17,7,19,7,Sch. with the mascot Sparky the Sun Devil,3,ASU
48,4,8,7,8,"Zakat, in Islam",4,ALMS
49,10,8,13,8,Equivalent of one gallon,4,FORK
50,15,8,19,8,–,5,WARTS
52,0,9,2,9,Some roofing material,3,TAR
55,4,9,6,9,Part of a day care schedule,3,NAP
56,9,9,12,9,From India or Pakistan,4,DESI
57,14,9,19,9,"Wee, in one spelling",6,TEENIE
58,0,10,19,10,Hit Mach I … or a hint to answering eight pairs of consecutive entries in this puzzle,20,BREAKTHESOUNDBARRIER
63,0,11,5,11,Run for it!,6,OFFICE
64,7,11,10,11,Beneficent,4,KIND
65,13,11,15,11,Denomination of Boston's historic Charles Street Church: Abbr.,3,AME
66,17,11,19,11,Real so-and-so,3,ASS
67,0,12,4,12,"""Anything you want!""",5,NEIGH
68,6,12,9,12,–,4,MITT
69,12,12,15,12,Nibble (on),4,GNAW
70,0,13,2,13,"Substance banned for agricultural use in 1972, for short",3,DDT
71,4,13,8,13,Style that flares out from the waist,5,ALINE
73,10,13,15,13,"One crying ""Help!""?",6,BEATLE
75,17,13,19,13,Big money exec,3,CFO
78,2,14,7,14,Growing season,6,SPRING
80,9,14,14,14,Former magazine that featured male nudes,6,PLAGUE
81,16,14,19,14,–,4,EARL
82,3,15,6,15,"Up there, so to speak",4,AGED
83,8,15,12,15,"Princess of Power, in the comics",5,SHERA
84,14,15,19,15,Let live,6,SPARED
86,0,16,4,16,"2 vis-à-vis 8, 3 vis-à-vis 27, etc.",5,QUEUE
89,6,16,11,16,–,6,BRUTES
91,15,16,19,16,Lauder of cosmetics,5,ESTEE
92,0,17,4,17,Amherst sch.,5,UMASS
93,6,17,10,17,Tied up,5,LACED
94,12,17,18,17,Fade hairstyle sported by Grace Jones,7,FLATTOP
97,0,18,3,18,Stack up,4,RATE
98,5,18,9,18,Skin marks,5,POCKS
99,11,18,15,18,Lollygagger,5,SLOPE
100,17,18,19,18,–,3,OAK
