number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,"Deets, say",4,INFO
5,5,0,9,0,Like pangolins and armadillos,5,SCALY
10,11,0,16,0,Pacific weather phenomenon,6,ELNINO
16,18,0,20,0,"000-00-0002, for Mr. Burns on ""The Simpsons"": Abbr.",3,SSN
19,0,1,3,1,Apt name for a protestor?,4,NEAL
20,5,1,9,1,"Shire of ""The Godfather""",5,TALIA
21,11,1,16,1,"""What's the ___?""",6,MATTER
22,18,1,20,1,Job listing letters,3,EEO
23,0,2,20,2,"Play about love and heartbreak in ancient Greece [1605, 431 B.C.]",21,AMIDSUMMERNIGHTSDREAM
27,0,3,4,3,Danger,5,PERIL
28,6,3,11,3,Cater (to),6,PANDER
29,15,3,20,3,Where people might come to a happy medium?,6,SEANCE
30,0,4,6,4,Is worth it,7,PAYSOFF
32,9,4,14,4,"""The Taming of the Shrew"" sister",6,BIANCA
36,16,4,20,4,Wheels,5,AUTOS
37,2,5,20,5,"Timeless children's classic about country dwellers' friendships [1908, 1881]",19,THEWINDINTHEWILLOWS
41,0,6,2,6,Farm cry,3,BAA
43,5,6,9,6,Vented appliance,5,DRYER
44,11,6,15,6,"Comedy talk show from 2003 to 2022, familiarly",5,ELLEN
45,0,7,4,7,Superlative score,5,APLUS
48,6,7,10,7,"""Great Caesar's ghost!""",5,EGADS
50,15,7,20,7,"Eat, baby-style",6,SUCKLE
56,0,8,5,8,Timid,6,TREPID
58,10,8,14,8,It's symbolized by a crescent moon and star,5,ISLAM
63,16,8,20,8,Jewish folklore creature,5,GOLEM
64,3,9,20,9,"Magnum opus about a young man, family and the concept of free will [1866, 1965]",18,CRIMEANDPUNISHMENT
70,0,10,3,10,Not according to plan,4,AWRY
73,5,10,9,10,Celebrity chef DiSpirito,5,ROCCO
74,11,10,15,10,"""Go ahead, shoot!""",5,ASKME
75,17,10,20,10,"Major and Commander, to Biden",4,PETS
76,0,11,17,11,"Coming-of-age novel about a teenage boy and his isolation [1951, 1986]",18,THECATCHERINTHERYE
80,0,12,4,12,Like an old apple,5,MEALY
81,6,12,10,12,Chicken ___ (South Asian dish),5,KORMA
82,15,12,20,12,Phenomenon also known as data decay,6,BITROT
86,0,13,5,13,Placid,6,SERENE
88,10,13,14,13,Rapper ___ Thee Stallion,5,MEGAN
93,16,13,20,13,Drudges,5,PEONS
94,5,14,9,14,Celebratory smoke,5,CIGAR
99,11,14,15,14,"Veered, as an airplane",5,YAWED
101,18,14,20,14,Just peachy,3,AOK
102,0,15,18,15,"Tale about soldiers and treachery in southern Europe [1940, 1603]",19,FORWHOMTHEBELLTOLLS
