number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,7,0,Condiment at a pho shop,8,SRIRACHA
9,9,0,14,0,"Got too scared, with ""out""",6,WIMPED
15,16,0,20,0,Shelve,5,DEFER
20,0,1,7,1,Big picture,8,WIDESHOT
21,9,1,14,1,Author/journalist Welteroth,6,ELAINE
22,16,1,20,1,"""The ___ Holmes Mysteries"" (young adult detective series)",5,ENOLA
23,0,2,7,2,Nationwide competitor,8,ALLSTATE
24,9,2,20,2,Places where some belts are tightened?,12,BELLYBOTTOMS
26,0,3,5,3,Longtime surname on late-night TV,6,MEYERS
27,8,3,13,3,Rooibos by another name,6,REDTEA
28,15,3,18,3,Simpson imp,4,BART
29,3,4,12,4,"Stephen Crane's ""The Red Badge of Courage,"" e.g.?",10,COMBATREAD
32,14,4,20,4,Gave the scoop,7,BRIEFED
35,0,5,3,5,Its presence on Mars offers a clue to life,4,SALT
38,6,5,8,5,Growler's contents,3,ALE
39,13,5,16,5,Actress Lena,4,OLIN
40,18,5,20,5,Can,3,AXE
41,0,6,2,6,"Medical gloves and N95 masks, for short",3,PPE
42,4,6,7,6,Pen,4,CAGE
44,9,6,15,6,"Andy Dufresne in ""The Shawshank Redemption,"" e.g.",7,ESCAPEE
48,17,6,20,6,Pear-shaped instrument,4,LUTE
49,0,7,5,7,"Buy a lot of, with ""on""",6,LOADUP
51,7,7,20,7,Lawyer with absurdly exaggerated humor?,14,CAMPYCOUNSELOR
54,0,8,6,8,"Where Camus's ""The Plague"" is set",7,ALGERIA
56,8,8,13,8,Circuit board components,6,DIODES
57,16,8,20,8,"Count, e.g.",5,TITLE
58,0,9,10,9,Sleep phase?,11,SLUMBERPART
60,13,9,17,9,Coconut-covered cookie,5,SAMOA
63,0,10,2,10,It might get the weed out,3,HOE
64,4,10,9,10,Flagship vehicle line for Mercedes-Benz,6,SCLASS
65,11,10,16,10,Encourage,6,SPURON
67,18,10,20,10,Dallas-to-Austin dir.,3,SSW
70,3,11,7,11,"Test, as a new mattress",5,LIEON
71,10,11,20,11,Harvesting machine that needs cleaning?,11,GRIMYREAPER
73,0,12,4,12,Didn't just sit there,5,ACTED
76,7,12,12,12,"Vouch for, with ""to""",6,ATTEST
79,14,12,20,12,Mythical weaver,7,ARACHNE
80,0,13,13,13,Doctor's description of the birth of triplet sons?,14,THREETIMESALAD
84,15,13,20,13,"""Well, maybe""",6,IGUESS
85,0,14,3,14,"Connect, as two devices",4,PAIR
86,5,14,11,14,Rhetoric,7,ORATORY
87,13,14,16,14,Relax,4,EASE
89,18,14,20,14,No longer active: Abbr.,3,RET
90,0,15,2,15,Golf ball's path,3,ARC
91,4,15,7,15,City north of Des Moines,4,AMES
92,12,15,14,15,Slangy turndown,3,NAH
93,17,15,20,15,Cinco + uno,4,SEIS
94,0,16,6,16,They might get all over the floor,7,ROOMBAS
96,8,16,17,16,Battle between Tinker Bell and Princess Ozma?,10,FAIRYFIGHT
102,2,17,5,17,Cream,4,ROUT
103,7,17,12,17,"""Ready?""",6,ALLSET
104,15,17,20,17,Some Guinness records,6,LEASTS
