number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,2,0,5,0,Streak of lightning,4,BOLT
5,1,1,6,1,"Flowers with ""tiger"" and ""trumpet"" varieties",6,LILIES
7,0,2,6,2,Surface to stretch on,7,YOGAMAT
8,0,3,2,3,"Condition treated with exposure and response prevention therapy, for short",3,OCD
9,4,3,6,3,"""Rocks,"" to a bartender",3,ICE
10,0,4,6,4,"""Wait, seriously?!""",7,WHATTHE
12,1,5,6,5,Actress with a record number of Oscar nominations (21),6,STREEP
13,2,6,5,6,Assists,4,AIDS
1,2,0,2,6,"Information sets used in machine learning and predictive analytics, collectively",7,BIGDATA
2,3,0,3,2,Portuguese greeting,3,OLA
3,4,0,4,6,Not infinite,7,LIMITED
4,5,0,5,6,Shows the ropes to,7,TEACHES
5,1,1,1,5,Scottish bodies of water,5,LOCHS
6,6,1,6,5,Like some prices and roller coaster drops,5,STEEP
7,0,2,0,4,"""That really hurts!""",3,YOW
11,3,4,3,6,Prefix with -ceratops,3,TRI
