number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,2,0,"""___ the gap!"" (advice for solving this puzzle)",3,MIN
5,0,1,4,1,"Love, in French",5,AMOUR
7,0,2,4,2,African mammal with armorlike skin,5,RHINO
8,0,3,4,3,"Major tech company founded in San Fran, as its name suggests",5,CISCO
9,0,4,2,4,"""Watch your ___!"" (advice for solving this puzzle)",3,STE
1,0,0,0,4,Painter Chagall and podcaster Maron,5,MARCS
2,1,0,1,4,Dramatic cry during a paintball game,5,IMHIT
3,2,0,2,4,"Distraction while working at the library, maybe",5,NOISE
4,4,0,4,4,Sag,5,DROOP
6,3,1,3,3,"Tar Heels' school, for short",3,UNC
