number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,1,0,3,0,Word after lightning or stink,3,BUG
4,1,1,3,1,Earth Day month: Abbr.,3,APR
5,0,2,4,2,Without a doubt,5,BYFAR
7,0,3,4,3,Blue-footed ___ (marine bird),5,BOOBY
8,0,4,4,4,Swear word,5,CURSE
1,1,0,1,4,Swampy area in the southern U.S.,5,BAYOU
2,2,0,2,4,"With 3-Down, available to whoever wants it",5,UPFOR
3,3,0,3,4,See 2-Down,5,GRABS
5,0,2,0,4,"""Doctor Who"" airer",3,BBC
6,4,2,4,4,"""The Catcher in the ___""",3,RYE
