number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,4,0,"Word that can follow ""belly of the"" or ""nature of the""",5,BEAST
6,0,1,4,1,Coffee order with a frothy top,5,LATTE
7,0,2,4,2,"Ann ___, Mich.",5,ARBOR
8,0,3,4,3,Night lights?,5,STARS
9,0,4,4,4,"You might have a lot of it on your hands, if you're a chef",5,THYME
1,0,0,0,4,Really fun time,5,BLAST
2,1,0,1,4,Our world,5,EARTH
3,2,0,2,4,Held in check,5,ATBAY
4,3,0,3,4,Subject of a winter weather warning,5,STORM
5,4,0,4,4,Abruptly worded,5,TERSE
