number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,Shops,4,ANTI
5,5,0,9,0,Peddling,5,QUEST
10,11,0,14,0,Collectibles,4,ORES
14,16,0,20,0,A kitchen might have a good one,5,AROMA
19,0,1,3,1,"Instrument for Arachne, in mythology",4,LOOM
20,5,1,9,1,Natural instincts,5,URGES
21,11,1,14,1,"Word on the street, perhaps?",4,TAXI
22,16,1,20,1,"Like Superman, but not Spider-Man",5,CAPED
23,0,2,3,2,Symbol of bravery,4,LION
24,5,2,9,2,Nephew of Abel,5,ENOCH
25,11,2,14,2,One-eyed war god,4,ODIN
26,16,2,20,2,African animal that may be spotted or striped,5,HYENA
27,0,3,6,3,Armed force at sea?,7,OCTOPUS
29,8,3,11,3,"""Person of the Year"" magazine",4,TIME
31,13,3,16,3,Big froyo franchiser,4,TCBY
33,18,3,20,3,"When said three times, ""Get off my case!""",3,NAG
34,0,4,5,4,"White terrier, informally",6,WESTIE
35,7,4,10,4,Historic,4,MIRA
36,12,4,15,4,Hockey,4,CLEO
37,17,4,20,4,Upset,4,NICE
38,3,5,5,5,___ Toy Barn (where Emperor Zurg chases Buzz Lightyear),3,ALS
39,7,5,10,5,"""I,"" in the ""Iliad""",4,IOTA
40,12,5,15,5,You'll have to pull some strings to play this,4,HARP
41,17,5,20,5,Low-scoring Yahtzee category,4,ONES
42,0,6,4,6,Lower back bones,5,SACRA
45,6,6,9,6,Downsides,4,CONS
46,11,6,14,6,"How many U.N. members have names starting with ""W""",4,NONE
47,16,6,18,6,Lionel Messi's homeland: Abbr.,3,ARG
48,0,7,4,7,Standoffish,5,ALOOF
49,6,7,8,7,Whiz,3,ACE
50,10,7,13,7,Promotional overkill,4,HYPE
51,15,7,20,7,Capital on the Arabian Peninsula,6,MUSCAT
54,0,8,3,8,Waste,4,GARB
55,5,8,8,8,Disposal,4,AGED
56,10,8,13,8,Locations,4,UMPS
57,15,8,20,8,Things believers believe,6,CREEDS
58,0,9,3,9,"The ""A"" in A.D.",4,ANNO
59,5,9,7,9,Racket,3,DIN
60,9,9,12,9,"Children's book series akin to ""Where's Waldo?""",4,ISPY
61,14,9,16,9,Word with nursing or training,3,BRA
62,18,9,20,9,N.I.H. standard,3,RDA
63,1,10,3,10,Read,3,BET
64,5,10,7,10,Here,3,WEE
65,9,10,11,10,To,3,NTH
66,13,10,15,10,Understand,3,ELI
67,17,10,19,10,23 answers in today's puzzle that don't seem to match their clues,3,NES
68,0,11,2,11,"The ""P"" of E.P.S. ratio, on Wall Street",3,PER
69,4,11,6,11,"Adverb repeated in the ""Star Wars"" prologue",3,FAR
70,8,11,11,11,"Calvin and Hobbes, e.g.",4,PALS
71,13,11,15,11,"Head, in slang",3,NOB
72,17,11,20,11,Onetime radio host Don,4,IMUS
74,0,12,5,12,"""Mad"" figure of fiction",6,HATTER
76,7,12,10,12,Dazzling,4,KALE
77,12,12,15,12,Pattern,4,IDOS
78,17,12,20,12,Generator,4,COPE
79,0,13,5,13,Like some care services,6,INHOME
80,7,13,10,13,Purplish blue,4,IRIS
81,12,13,14,13,"1998 film ""Waking ___ Devine""",3,NED
82,16,13,20,13,Al ___ (pasta specification),5,DENTE
83,2,14,4,14,"Initialism aptly found in ""timetable""",3,ETA
84,6,14,9,14,Thief's haul,4,TAKE
85,11,14,14,14,"Xmas, for Justin Trudeau",4,BDAY
86,16,14,20,14,Synthetic fiber,5,RAYON
