number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,5,0,Exfoliants,6,SCRUBS
7,7,0,9,0,Foofaraw,3,ADO
10,12,0,15,0,Cookout chuckouts,4,COBS
14,17,0,20,0,Thickener used in desserts,4,AGAR
18,0,1,5,1,"Like favorite radio stations, perhaps",6,PRESET
19,7,1,10,1,Calico calls,4,MEWS
21,12,1,15,1,Memo starter,4,INRE
22,17,1,20,1,N.F.L. Hall-of-Famer Yale ___,4,LARY
23,0,2,5,2,Backpacker's snack,6,OATBAR
24,7,2,10,2,Big huff?,4,PANT
25,12,2,20,2,Have an outsize presence,9,LOOMLARGE
27,0,3,2,3,"""I didn't need to know that!""",3,TMI
28,4,3,6,3,What a net might attach to,3,RIM
30,8,3,10,3,Flying Cloud of old autodom,3,REO
31,12,3,16,3,Jazz clarinetist Shaw,5,ARTIE
32,18,3,20,3,Soaring shot,3,LOB
33,0,4,6,4,Some Six Nations members,7,SENECAS
35,8,4,14,4,*Mount Everest scaler,7,EDMUNDH
37,16,4,20,4,Hogs,5,SWINE
39,1,5,4,5,*Went out of control,4,RANR
40,6,5,8,5,A.M.A. members: Abbr.,3,DRS
42,10,5,15,5,Marketing experiment comparing two variants,6,ABTEST
44,17,5,20,5,Some red marks,4,ACNE
45,3,6,9,6,Big lugs,7,GALOOTS
48,11,6,13,6,"Say ""Whomever did this …,"" say",3,ERR
49,15,6,20,6,"Alice who wrote ""The Color Purple""",6,WALKER
51,0,7,2,7,Org. with a sizable registry,3,AKC
54,4,7,7,7,"Yellow jacket, for one",4,WASP
55,9,7,12,7,Syrup brand since 1902,4,KARO
57,14,7,18,7,Word before Roger or Rancher,5,JOLLY
58,0,8,5,8,To a profound degree,6,DEEPLY
60,7,8,11,8,"*""Cinderella"" meanie",5,EVILS
62,13,8,17,8,Field trip conveyances,5,BUSES
63,0,9,4,9,"Middle van Pelt child in ""Peanuts""",5,LINUS
64,6,9,10,9,"Use Tinder, say",5,SWIPE
65,12,9,20,9,Airs,9,TELECASTS
69,0,10,3,10,Big exporter of pistachios,4,IRAN
70,5,10,9,10,Features of some bygone muscle cars,5,TTOPS
71,11,10,15,10,"Give an elbow bump to, say",5,GREET
72,17,10,20,10,Free of fizz,4,FLAT
73,0,11,8,11,*Lateral-breaking pitches,9,BACKDOORS
75,10,11,14,11,Skulk,5,CREEP
76,16,11,20,11,Maker of the world's first quartz watch,5,SEIKO
77,3,12,7,12,Javanese dyeing technique,5,BATIK
78,9,12,13,12,Potala Palace city,5,LHASA
79,15,12,20,12,One of seven represented in the Pleiades,6,SISTER
80,2,13,6,13,*Glide down from above,5,PARAC
81,8,13,11,13,Sleigh driver's need,4,REIN
82,13,13,16,13,Sound of an ungraceful landing,4,THUD
84,18,13,20,13,___ card,3,SIM
85,0,14,5,14,Fashion house whose logo is two interlocking C's,6,CHANEL
87,7,14,9,14,Like the Carolina Reaper pepper,3,HOT
88,11,14,17,14,Visionary,7,DREAMER
91,0,15,3,15,Title for Baltimore,4,LORD
92,5,15,10,15,Crow language family,6,SIOUAN
