number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,"What ""OOO"" can mean",4,HUGS
5,0,1,4,1,"""You've Really Got ___ on Me"" (1962 hit)",5,AHOLD
7,0,2,4,2,Indian currency,5,RUPEE
8,0,3,4,3,"What ""III"" can mean",5,THREE
9,2,4,4,4,Call of Duty: Black ___ (video game series),3,OPS
1,0,0,0,3,"Roxie ___, lead character in ""Chicago""",4,HART
2,1,0,1,3,"""Nope""",4,UHUH
3,2,0,2,4,"Camera attached to a ski helmet, perhaps",5,GOPRO
4,3,0,3,4,"What ""ZZZ"" can mean",5,SLEEP
6,4,1,4,4,"The middle of ""middle""",4,DEES
