number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,4,0,Yankee Stadium has 24 of these,5,ACRES
6,6,0,9,0,In the thick of,4,AMID
10,11,0,13,0,Org. with X-rays,3,TSA
13,15,0,17,0,Shape of a heron's neck,3,ESS
16,0,1,4,1,Bit of publicity,5,PROMO
17,6,1,9,1,Bag for a diamond,4,BASE
18,11,1,13,1,Yellowfin tuna,3,AHI
19,15,1,19,1,"Cheney and Harris, informally",5,VEEPS
22,0,2,13,2,One prone to idol thoughts,14,HEROWORSHIPPER
25,15,2,20,2,Marsh birds,6,EGRETS
27,0,3,2,3,"Clubs often require them, for short",3,IDS
28,4,3,7,3,Pool locales,4,SPAS
29,10,3,12,3,That: Sp.,3,ESA
30,14,3,20,3,"""Never you worry""",7,FRETNOT
31,0,4,3,4,Moor,4,DOCK
33,5,4,10,4,Call into question,6,IMPUGN
36,12,4,20,4,Bouquet,9,FRAGRANCE
38,2,5,4,5,Break up clods,3,HOE
40,6,5,10,5,"Bolívar who was known as ""the Liberator""",5,SIMON
41,12,5,15,5,"Evening, to Yves",4,SOIR
42,18,5,20,5,Reggae-like genre,3,SKA
43,0,6,5,6,One looking for missing persons,6,TRACER
46,7,6,11,6,"Singer White with the 1991 #1 hit ""Romantic""",5,KARYN
48,13,6,16,6,Actress de Matteo,4,DREA
50,18,6,20,6,Inits. on some handbags,3,YSL
51,0,7,7,7,Two-colored,8,BICHROME
53,9,7,13,7,Model world,5,GLOBE
55,15,7,18,7,End-of-semester form: Abbr.,4,EVAL
57,0,8,2,8,"Flick, as a cigarette, informally",3,ASH
58,4,8,6,8,Disappearing sculpture medium,3,ICE
59,8,8,13,8,Big name in jet skis,6,SEADOO
60,15,8,19,8,Gumption,5,NERVE
62,0,9,2,9,___ hall,3,REC
63,4,9,8,9,Stylish flair,5,ECLAT
65,10,9,13,9,Square type,4,NERD
66,15,9,20,9,Necessities for drug approvals,6,TRIALS
68,2,10,10,10,English landing spot,9,AERODROME
71,12,10,15,10,Seat for the Queen?,4,ARSE
73,17,10,20,10,Egyptian symbol of life,4,ANKH
74,0,11,3,11,Stick with it!,4,FORK
76,6,11,9,11,"John Cho's role in ""Star Trek"" films",4,SULU
77,12,11,15,11,Level,4,TIER
78,17,11,20,11,Spill the tea,4,DISH
79,0,12,5,12,Hits high notes in high places,6,YODELS
82,7,12,11,12,Suit,5,BEFIT
85,13,12,18,12,Setting of two Shakespeare plays,6,VERONA
87,0,13,2,13,Some coding statements,3,IFS
88,4,13,13,13,"Edith Wharton's ""ruin of a man""",10,ETHANFROME
91,15,13,20,13,Nautical agreement,6,AYEAYE
94,3,14,6,14,"Bearer of roses, maybe",4,BEAU
95,10,14,12,14,Word with American or amber,3,ALE
96,14,14,16,14,Whiz,3,ACE
97,18,14,20,14,"Aunt ___ (role on ""The Fresh Prince of Bel-Air"")",3,VIV
98,0,15,15,15,Habitual fear of being exposed as a fraud,16,IMPOSTERSYNDROME
105,17,15,20,15,"N.F.L. star Elliott, to fans",4,ZEKE
106,0,16,4,16,Edify,5,TEACH
107,6,16,9,16,Rikishi's sport,4,SUMO
108,12,16,14,16,"""Don't be that ___""",3,GUY
109,16,16,20,16,Part of a skin-care routine,5,TONER
110,0,17,4,17,"First pope to be called ""the Great""",5,STLEO
111,7,17,13,17,Dillydallies,7,DAWDLES
114,15,17,20,17,"""In Search of Lost Time"" novelist",6,PROUST
115,1,18,18,18,Aphorism that's visually depicted five times in this puzzle's grid,18,ALLROADSLEADTOROME
119,1,19,6,19,Pros with floors,6,TILERS
120,8,19,11,19,Unit of cauliflower,4,HEAD
121,13,19,17,19,"Split, then come together?",5,ELOPE
122,2,20,6,20,Ultimate needs,5,DISCS
123,9,20,11,20,Parched,3,DRY
124,13,20,17,20,Apply (to),5,REFER
1,0,0,0,4,Rosebud ravager,5,APHID
2,1,0,1,4,"Latin for ""I believe""",5,CREDO
3,2,0,2,13,Some black-and-white pictures,14,RORSCHACHCARDS
4,3,0,3,2,"Prone to brooding, say",3,EMO
5,4,0,4,3,Scatters,4,SOWS
6,6,0,6,5,Stacey of Georgia politics,6,ABRAMS
7,7,0,7,7,"Easternmost leg of I-90, familiarly",8,MASSPIKE
8,8,0,8,2,Suffix with fool or fiend,3,ISH
9,9,0,9,2,Opus ___,3,DEI
10,11,0,11,3,Dance shoe attachments,4,TAPS
11,12,0,12,5,Bundles,6,SHEAFS
12,13,0,13,2,Put on,3,AIR
13,15,0,15,15,Home of the Simpson and Flanders households,16,EVERGREENTERRACE
14,16,0,16,4,Rocker Bob with 10 top 10 albums,5,SEGER
15,17,0,17,4,Casper competitor,5,SERTA
20,18,1,18,18,One side of D.C.'s Federal Triangle,18,PENNSYLVANIAAVENUE
21,19,1,19,6,iPhone app with a graph in its icon,6,STOCKS
23,5,2,5,4,Nail polish brand,3,OPI
24,10,2,10,10,"Where all the people that come and go stop and say ""hello,"" in a 1967 hit",9,PENNYLANE
26,20,2,20,6,It's a huge deal,5,STEAL
30,14,3,14,6,State ___,4,FAIR
32,3,4,3,7,Former N.Y.C. mayor Ed,4,KOCH
34,8,4,8,6,Actress Thurman,3,UMA
35,9,4,9,8,Locale for a rock climber,5,GORGE
