number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,Department store department,4,MENS
5,5,0,8,0,Tater,4,SPUD
9,10,0,14,0,Indian state along the Himalayas,5,ASSAM
14,17,0,20,0,Largest organ in the human body,4,SKIN
18,0,1,3,1,"""None for me""",4,IMOK
19,5,1,8,1,Big name in syrup,4,KARO
20,10,1,14,1,"Dessert you might top with gummy bears and chocolate chips, informally",5,FROYO
21,16,1,20,1,Practical,5,UTILE
22,0,2,14,2,Hard / work,15,DIVISIONOFLABOR
25,16,2,20,2,Place for a bob and weave,5,SALON
26,0,3,6,3,Measured,7,GRADUAL
27,8,3,10,3,Sky safety org.,3,FAA
28,14,3,20,3,"Starting point, of sorts",7,PREMISE
30,0,4,2,4,Key above a tilde,3,ESC
31,4,4,20,4,New York × paper,17,PRODUCTOFTHETIMES
36,2,5,5,5,"James who wrote the screenplay for ""The Night of the Hunter"" (1955)",4,AGEE
38,7,5,9,5,Language suffix,3,ESE
39,11,5,13,5,"One answering to a board, for short",3,CEO
40,15,5,18,5,"""Strega ___"" (classic children's folk tale)",4,NONA
41,0,6,3,6,"""That's just … wrong""",4,UMNO
43,5,6,7,6,"Arjuna's skill, in the ""Mahabharata""",3,AIM
45,10,6,15,6,"Come to rest, as sediment",6,SETTLE
47,17,6,19,6,Creature whose narrow waist is called a petiole,3,ANT
49,0,7,4,7,Encyclopedia filler,5,FACTS
51,6,7,14,7,√generate,9,ROOTCAUSE
54,18,7,20,7,Food that becomes its own container if you change the last letter,3,JAM
56,0,8,6,8,"Brush wolves, by another name",7,COYOTES
58,8,8,12,8,"Fixes a hole, say",5,DARNS
59,14,8,20,8,Post-spring cleaning event,7,TAGSALE
63,3,9,5,9,Essential ___,3,OIL
64,7,9,10,9,Heap,4,PILE
65,13,9,20,9,Nashville neighborhood known for its many recording studios,8,MUSICROW
66,1,10,19,10,It's what ﹣ you think,19,DIFFERENCEOFOPINION
71,0,11,7,11,"Theatrical release, typically",8,FINALCUT
72,10,11,13,11,Many humanitarian grps.,4,NGOS
73,15,11,17,11,___ Khan,3,AGA
74,0,12,6,12,Turkish travel stops,7,IMARETS
75,8,12,12,12,"""Gimme an A …!,"" e.g.",5,CHEER
77,14,12,20,12,Like the presidency of Martin Van Buren,7,ONETERM
81,0,13,2,13,"Back, informally",3,REP
82,6,13,14,13,(Pixar movie)2,9,SQUAREDUP
85,16,13,20,13,Puts on the line,5,RISKS
86,1,14,3,14,Egg ___,3,SAC
88,5,14,10,14,Pickleball venues,6,COURTS
89,13,14,15,14,Certain sib,3,SIS
91,17,14,20,14,Dove calls,4,COOS
92,2,15,5,15,Something tied with a tongue?,4,SHOE
94,7,15,9,15,"""___  got it!""",3,IVE
95,11,15,13,15,Studio with an iconic lion,3,MGM
97,15,15,18,15,"Pressure, so to speak",4,HEAT
99,0,16,16,16,∫ workout routine,17,INTEGRATEDCIRCUIT
104,18,16,20,16,"Name that drops ""-jah""",3,ELI
