number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,2,0,"With 9-Across, Dick who starred in a Coldplay music video released on his 99th birthday in December 2024",3,VAN
4,0,1,4,1,"Turn away, as one's gaze",5,AVERT
7,0,2,4,2,"Seattle's Space Needle, for one",5,TOWER
8,1,3,4,3,"""Ah, gotcha""",4,ISEE
9,1,4,4,4,See 1-Across,4,DYKE
1,0,0,0,2,Tank in a factory,3,VAT
2,1,0,1,4,Steer clear of,5,AVOID
3,2,0,2,4,Filled with the latest gossip,5,NEWSY
5,3,1,3,4,Smell *terrible*,4,REEK
6,4,1,4,4,Stereotypically simple role in a school play,4,TREE
