number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,2,0,Hotel chain operated by Hilton,3,TRU
4,4,0,6,0,Banned insecticide,3,DDT
7,9,0,13,0,Big voices with big egos,5,DIVAS
12,16,0,20,0,Some users of Cyrillic script,5,SLAVS
17,0,1,7,1,"Antique furniture expert, perhaps",8,RESTORER
20,9,1,14,1,Like bills in arrears,6,UNPAID
22,16,1,20,1,Freak out,5,PANIC
23,0,2,7,2,100%,8,ABSOLUTE
24,9,2,20,2,Sight at a checkout counter,12,CASHREGISTER
26,0,3,9,3,Golfer who won the 1998 Masters (Italy),10,MARKOMEARA
28,12,3,16,3,"Attach, as a patch",5,SEWON
29,18,3,20,3,"""Baa, baa"" ma",3,EWE
30,3,4,5,4,"""Rosy-fingered"" Greek goddess",3,EOS
31,7,4,11,4,Snitch out,5,RATON
34,13,4,16,4,Zip,4,NADA
35,18,4,20,4,World's end?,3,DEE
36,0,5,2,5,Grp. led by Mahmoud Abbas beginning in 2004,3,PLO
39,4,5,8,5,"Apples and pears, botanically",5,POMES
41,10,5,20,5,Seethe (Norway),11,DOASLOWBURN
44,0,6,3,6,Queen Latifah's given first name,4,DANA
46,5,6,7,6,Playwright ___-Manuel Miranda,3,LIN
47,9,6,12,6,Benefit,4,BOON
48,14,6,19,6,Pipsqueaks,6,TWERPS
49,0,7,13,7,Give up all at once (Ecuador),14,QUITCOLDTURKEY
53,15,7,17,7,Org. with a Summer League,3,NBA
54,1,8,4,8,Churn,4,ROIL
55,6,8,9,8,Response from a therapist,4,ISEE
56,12,8,14,8,"Were, for one?",3,WAS
58,17,8,19,8,"""If we don't end ___, ___ will end us"": H. G. Wells",3,WAR
61,0,9,6,9,Calculus expert?,7,DENTIST
63,8,9,11,9,"""Inventing ___"" (2022 Netflix hit)",4,ANNA
66,13,9,20,9,Die-hard,8,LOYALFAN
70,0,10,2,10,Gate in digital logic,3,AND
71,4,10,16,10,Major player in U.S. economic policy (Egypt),13,CHAIROFTHEFED
74,18,10,20,10,Retired jersey number for the 76ers' Moses Malone,3,TWO
75,0,11,7,11,"Post-it notes, e.g.",8,STICKONS
77,9,11,12,11,Cousin of a plum,4,SLOE
