number,start_col,start_row,end_col,end_row,clue,"length (optional column, for checking only)","answer (optional column, for checking only)"
1,0,0,3,0,Like billionaires and chocolate cake,4,RICH
5,0,1,3,1,"Actress Fanning of ""A Complete Unknown""",4,ELLE
6,0,2,4,2,Stay above water,5,FLOAT
8,1,3,4,3,"""Hamilton"" character who sings ""The Room Where It Happens""",4,BURR
9,1,4,4,4,Swirl of water,4,EDDY
1,0,0,0,2,"""Hey ___, check your voicemail, you've missed a few calls!"" (heckle)",3,REF
2,1,0,1,4,"""Wow, would you look at that!""",5,ILLBE
3,2,0,2,4,"Stratocumulus, e.g.",5,CLOUD
4,3,0,3,4,Got wind of,5,HEARD
7,4,2,4,4,Not phone it in,3,TRY
